Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.37.40	-46.49033	-23.61279	TIM	5G	-108	61	849	
2023.10.15_15.37.41	-46.49050	-23.61279	TIM	5G	-108	63	849	
2023.10.15_15.37.42	-46.49070	-23.61277	TIM	5G	-108	66	848	
2023.10.15_15.37.43	-46.49089	-23.61276	TIM	5G	-106	68	847	
2023.10.15_15.37.44	-46.49107	-23.61277	TIM	5G	-106	68	847	
2023.10.15_15.37.45	-46.49125	-23.61278	TIM	5G	-106	66	847	
2023.10.15_15.37.46	-46.49141	-23.61281	TIM	5G	-108	62	846	
2023.10.15_15.37.47	-46.49158	-23.61284	TIM	5G	-108	61	846	
2023.10.15_15.37.48	-46.49172	-23.61288	TIM	5G	-108	55	847	
2023.10.15_15.37.49	-46.49187	-23.61290	TIM	5G	-108	58	847	
2023.10.15_15.37.49	-46.49187	-23.61290	TIM	4G	-77	58	847	
2023.10.15_15.37.50	-46.49202	-23.61292	TIM	4G	-77	56	847	
2023.10.15_15.37.51	-46.49217	-23.61296	TIM	5G	-98	57	848	
2023.10.15_15.37.52	-46.49217	-23.61296	TIM	5G	-98	57	848	
2023.10.15_15.37.52	-46.49233	-23.61298	TIM	5G	-98	57	848	
2023.10.15_15.37.53	-46.49248	-23.61299	TIM	5G	-98	55	848	
2023.10.15_15.37.54	-46.49263	-23.61300	TIM	5G	-96	53	849	
2023.10.15_15.37.55	-46.49277	-23.61299	TIM	5G	-96	51	849	
2023.10.15_15.37.56	-46.49292	-23.61298	TIM	5G	-96	53	849	
2023.10.15_15.37.57	-46.49307	-23.61294	TIM	5G	-94	52	848	
2023.10.15_15.37.58	-46.49321	-23.61290	TIM	5G	-94	54	848	
2023.10.15_15.37.59	-46.49334	-23.61287	TIM	5G	-94	54	848	
2023.10.15_15.38.00	-46.49334	-23.61287	TIM	4G	-83	54	848	
2023.10.15_15.38.00	-46.49346	-23.61282	TIM	4G	-83	50	848	
2023.10.15_15.38.01	-46.49360	-23.61277	TIM	4G	-83	52	849	
2023.10.15_15.38.02	-46.49373	-23.61274	TIM	4G	-75	48	849	
2023.10.15_15.38.03	-46.49388	-23.61271	TIM	4G	-75	53	850	
2023.10.15_15.38.04	-46.49402	-23.61269	TIM	4G	-76	52	851	
2023.10.15_15.38.05	-46.49415	-23.61270	TIM	4G	-76	51	852	
2023.10.15_15.38.06	-46.49430	-23.61273	TIM	4G	-72	54	853	
2023.10.15_15.38.07	-46.49444	-23.61276	TIM	4G	-72	51	853	
2023.10.15_15.38.08	-46.49459	-23.61280	TIM	4G	-76	53	852	
